cdscod,cds,dtappello,commitment
F5104P,[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,2017-08-06T00:00:00Z,2
F5104P,[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,2017-09-13T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-04-07T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-04-26T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-04-28T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-06-09T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-06-14T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-06-20T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-06-27T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-07-09T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-07-20T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-07-21T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-10-24T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-11-22T00:00:00Z,2
F5301Q,[F5301Q] SCIENZA DEI MATERIALI,2017-12-07T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-02-21T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-02-22T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-02-24T00:00:00Z,2
F5401Q,[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE,2017-04-05T00:00:00Z,2
